age,type,origin,rarity
5,2,0,0.970104
5,4,3,0.970104
5,1,6,0.970104
5,4,1,0.970104
5,3,4,0.970104
5,2,5,0.970104
6,3,0,0.970201
6,3,2,0.970201
6,2,6,0.970201
7,3,3,0.970298
7,4,6,0.970298
7,0,1,0.970298
7,2,5,0.970298
7,2,2,0.970298
8,3,2,0.970395
8,0,1,0.970395
9,2,3,0.970492
9,0,3,0.970492
9,3,3,0.970492
9,0,5,0.970492
10,2,0,0.970589
10,2,6,0.970589
10,4,4,0.970589
10,3,6,0.970589
11,0,3,0.970686
11,3,0,0.970686
11,1,2,0.970686
12,2,6,0.970783
12,3,5,0.970783
12,3,6,0.970783
12,4,2,0.970783
12,1,0,0.970783
13,3,2,0.97088
13,0,5,0.97088
13,0,3,0.97088
13,0,0,0.97088
13,4,0,0.97088
13,3,3,0.97088
14,4,1,0.970977
14,4,5,0.970977
14,2,0,0.970977
14,4,6,0.970977
14,0,3,0.970977
14,0,1,0.970977
15,1,3,0.971074
15,2,2,0.971074
15,4,3,0.971074
16,2,2,0.971171
17,4,5,0.971268
17,1,1,0.971268
17,2,2,0.971268
17,2,6,0.971268
18,1,5,0.971365
18,4,6,0.971365
19,2,2,0.971462
19,1,3,0.971462
20,3,2,0.971558
20,2,6,0.971558
20,2,0,0.971558
20,4,0,0.971558
20,3,6,0.971558
20,0,5,0.971558
20,3,3,0.971558
21,3,3,0.971655
22,0,5,0.971752
22,3,1,0.971752
22,2,5,0.971752
22,0,2,0.971752
22,2,3,0.971752
22,3,2,0.971752
22,1,6,0.971752
23,0,5,0.971849
23,3,0,0.971849
23,1,1,0.971849
24,2,5,0.971946
24,3,3,0.971946
24,2,0,0.971946
24,0,6,0.971946
25,3,0,0.972043
25,2,4,0.972043
25,1,3,0.972043
25,1,0,0.972043
25,2,0,0.972043
25,2,6,0.972043
25,2,2,0.972043
26,2,1,0.97214
26,2,4,0.97214
27,1,6,0.972237
27,2,1,0.972237
27,3,6,0.972237
27,4,2,0.972237
27,1,5,0.972237
27,2,2,0.972237
27,4,5,0.972237
28,1,5,0.972334
28,3,6,0.972334
28,4,6,0.972334
29,2,0,0.972431
29,0,0,0.972431
29,2,1,0.972431
29,0,2,0.972431
29,2,3,0.972431
29,1,2,0.972431
30,3,1,0.972528
30,4,2,0.972528
30,0,0,0.972528
30,0,5,0.972528
30,4,4,0.972528
30,2,1,0.972528
31,3,1,0.972625
31,0,0,0.972625
31,2,5,0.972625
32,2,5,0.972722
32,4,5,0.972722
